,count,mean,std,min,25%,50%,75%,max
dschrg_pnwa_mean_13_15,8309.0,1214.8558316082958,1128.4050961428359,129.95799999999997,266.4333333333332,644.9993333333331,2224.2000000000003,3639.8
dschrg_pnwa_min_13_15,8309.0,1191.019518473944,1141.1490331771038,0.881,218.093,558.854,2221.3,3639.8
dschrgpnwa_max_13_15,8309.0,1238.8822323986037,1117.048506944573,150.9,312.784,731.988,2226.3,3639.8
dschrgpnwa_max_min_13_15,8309.0,47.862713924660014,84.78195749873841,0.0,3.300000000000182,9.199999999999818,53.338,932.702
dschrg_wmth_mean_1_3,5295.0,10.394171932389048,10.864773753242435,0.3442079999999999,1.00495,7.64772,16.3216,55.3884
dschrg_wmth_min_1_3,5295.0,10.332759163739375,10.80434116857715,0.3442079999999999,0.991416,7.62348,16.2408,55.3884
dschrgwmth_max_1_3,5295.0,10.456383850424928,10.926551088996888,0.3442079999999999,1.020504,7.671959999999999,16.362,55.3884
dschrgwmth_max_min_1_3,5295.0,0.12362468668555239,0.23132608784272674,0.0,0.0121199999999999,0.0605999999999991,0.1212000000000017,4.605599999999996
dschrg_wmth_mean_4_6,5292.0,10.398908507558579,10.866031189166055,0.3442079999999999,1.0046469999999998,7.653779999999999,16.3216,55.3884
dschrg_wmth_min_4_6,5292.0,10.337464741496598,10.805595187709631,0.3442079999999999,0.9911129999999999,7.6295399999999995,16.2408,55.3884
dschrgwmth_max_4_6,5292.0,10.461152639455783,10.927811607998114,0.3442079999999999,1.020504,7.671959999999999,16.362,55.3884
dschrgwmth_max_min_4_6,5292.0,0.12368789795918364,0.23137641719165375,0.0,0.0121199999999999,0.0605999999999991,0.1212000000000017,4.605599999999996
dschrg_wmth_mean_7_9,5289.0,10.403633651351862,10.867300750287814,0.3442079999999999,1.004344,7.655799999999999,16.3216,55.3884
dschrg_wmth_min_7_9,5289.0,10.342161908111175,10.806858987814477,0.3442079999999999,0.990204,7.635599999999999,16.2408,55.3884
dschrgwmth_max_7_9,5289.0,10.46590621440726,10.92908718784465,0.3442079999999999,1.020504,7.671959999999999,16.362,55.3884
dschrgwmth_max_min_7_9,5289.0,0.12374430629608621,0.23142979186644574,0.0,0.0121199999999999,0.0605999999999991,0.1212000000000017,4.605599999999996
dschrg_wmth_mean_10_12,5286.0,10.408348108588724,10.868581844623414,0.3442079999999999,1.002223,7.655799999999999,16.3216,55.3884
dschrg_wmth_min_10_12,5286.0,10.346846063564133,10.808136077280286,0.3442079999999999,0.990204,7.64772,16.2408,55.3884
dschrgwmth_max_10_12,5286.0,10.470651427922814,10.930372542073526,0.3442079999999999,1.014141,7.671959999999999,16.362,55.3884
dschrgwmth_max_min_10_12,5286.0,0.12380536435868329,0.2314812283043677,0.0,0.0121199999999999,0.0605999999999991,0.1212000000000017,4.605599999999996
dschrg_wmth_mean_13_15,5283.0,10.413055684648873,10.869871545548811,0.3442079999999999,1.001112,7.659839999999999,16.3216,55.3884
dschrg_wmth_min_13_15,5283.0,10.351521773992049,10.809422941231336,0.3442079999999999,0.990204,7.64772,16.2408,55.3884
dschrgwmth_max_13_15,5283.0,10.475390559909144,10.931665915697641,0.3442079999999999,1.01202,7.671959999999999,16.362,55.3884
dschrgwmth_max_min_13_15,5283.0,0.12386878591709254,0.23153164818112398,0.0,0.0121199999999999,0.0605999999999991,0.1212000000000017,4.605599999999996
